shot_num,quarter,game_clock,time_elapsed_s,shot_clock,shooter_name,shooter_team,shooter_player_id,shot_type,zone,shot_quality,nearest_def_dist,ball_x,ball_y,ball_z_at_release,shooter_x,shooter_y
134,4,Q4 8:53.93,2346.07,14.46,Thaddeus Young,BKN,201152,2pt_jump_shot,high_paint,3.3153,3.601,14.153,27.671,7.005,14.504,26.907
135,4,Q4 8:40.47,2359.53,11.54,Evan Turner,BOS,202323,2pt_jump_shot,baseline_2,2.6794,2.991,88.629,37.151,9.04,88.689,36.702
136,4,Q4 8:24.00,2376.0,24.0,Brook Lopez,BKN,201572,2pt_jump_shot,straight_up_2,4.0,10.307,19.305,25.258,7.85,19.88,24.971
137,4,Q4 8:05.77,2394.23,5.57,Evan Turner,BOS,202323,layup,low_paint,7.6168,2.564,89.677,22.513,7.342,89.174,21.785
138,4,Q4 7:47.37,2412.63,11.68,Joe Johnson,BKN,2207,2pt_jump_shot,high_paint,3.1762,3.031,15.609,24.021,7.476,15.957,24.677
139,4,Q4 7:45.86,2414.14,24.0,Joe Johnson,BKN,2207,layup,low_paint,7.275,1.507,9.061,24.653,11.712,9.904,25.557
140,4,Q4 7:17.93,2442.07,2.88,Wayne Ellington,BKN,201961,2pt_jump_shot,wing_2,0.886,4.176,25.32,15.741,7.362,25.614,15.882
141,4,Q4 7:05.12,2454.88,16.42,Evan Turner,BOS,202323,3pt_jump_shot,corner_3,10.0,10.178,81.236,46.845,7.314,80.454,47.365
142,4,Q4 6:40.59,2479.41,2.41,Joe Johnson,BKN,2207,layup,low_paint,8.9527,4.767,5.297,27.451,9.905,6.651,28.003
143,4,Q4 6:39.70,2480.3,1.57,Thaddeus Young,BKN,201152,layup,low_paint,7.275,0.0,5.918,26.219,10.725,6.371,25.134
144,4,Q4 6:37.65,2482.35,22.71,Brook Lopez,BKN,201572,layup,low_paint,7.4826,2.342,7.126,24.614,7.103,6.956,24.993
145,4,Q4 6:27.62,2492.38,17.19,Jae Crowder,BOS,203109,3pt_jump_shot,straight_up_3,7.5,12.931,64.478,30.964,7.451,64.191,31.059
146,4,Q4 6:13.72,2506.28,12.34,Shane Larkin,BKN,203499,3pt_jump_shot,straight_up_3,7.5,8.915,29.008,26.948,7.105,29.279,26.793
147,4,Q4 5:56.47,2523.53,8.74,Jonas Jerebko,BOS,201973,3pt_jump_shot,wing_3,4.5,8.981,72.152,6.76,7.228,71.879,6.767
148,4,Q4 5:36.67,2543.33,7.05,Brook Lopez,BKN,201572,2pt_jump_shot,high_paint,3.7281,5.295,15.228,28.111,7.546,16.012,28.784
149,4,Q4 5:35.26,2544.74,24.0,Thaddeus Young,BKN,201152,dunk,low_paint,7.275,1.492,5.311,25.104,10.478,6.549,25.158
150,4,Q4 5:23.13,2556.87,17.67,Isaiah Thomas,BOS,202738,layup,low_paint,7.275,1.419,88.464,23.553,7.09,87.951,24.666
151,4,Q4 5:04.99,2575.01,9.67,Brook Lopez,BKN,201572,2pt_jump_shot,high_paint,2.925,1.697,15.381,25.269,7.518,15.676,26.46
152,4,Q4 4:49.26,2590.74,10.04,Amir Johnson,BOS,101161,2pt_jump_shot,low_paint,7.4453,2.281,83.459,29.805,7.465,83.379,28.65
153,4,Q4 4:25.05,2614.95,9.89,Bojan Bogdanovic,BKN,202711,2pt_jump_shot,low_paint,7.275,1.496,8.012,30.32,7.277,8.854,30.647
154,4,Q4 4:21.04,2618.96,6.12,Joe Johnson,BKN,2207,3pt_jump_shot,wing_3,4.5,7.087,27.594,11.218,7.365,27.612,10.814
155,4,Q4 4:18.73,2621.27,24.0,Thaddeus Young,BKN,201152,layup,low_paint,7.275,1.899,6.834,25.389,12.449,7.4,25.328
156,4,Q4 4:06.82,2633.18,14.6,Brook Lopez,BKN,201572,2pt_jump_shot,baseline_2,2.6137,2.673,2.375,36.061,7.58,2.708,34.745
157,4,Q4 3:59.68,2640.32,19.3,Evan Turner,BOS,202323,layup,low_paint,7.275,1.923,87.72,28.585,8.361,87.139,27.286
158,4,Q4 3:58.40,2641.6,24.0,Jae Crowder,BOS,203109,dunk,low_paint,7.6313,2.588,88.93,26.256,11.147,87.968,25.244
159,4,Q4 3:36.58,2663.42,4.77,Joe Johnson,BKN,2207,2pt_jump_shot,baseline_2,3.2628,5.82,8.432,9.655,7.609,8.323,9.947
160,4,Q4 3:20.98,2679.02,13.64,Isaiah Thomas,BOS,202738,3pt_jump_shot,wing_3,4.5,7.506,70.035,39.471,7.329,69.913,39.853
161,4,Q4 2:55.00,2705.0,24.0,Thaddeus Young,BKN,201152,2pt_jump_shot,straight_up_2,4.0,10.881,19.893,24.378,7.054,19.614,24.743
162,4,Q4 2:40.34,2719.66,9.48,Kelly Olynyk,BOS,203482,3pt_jump_shot,wing_3,4.5,7.697,66.044,14.931,7.435,65.364,14.714
163,4,Q4 2:24.52,2735.48,10.79,Joe Johnson,BKN,2207,2pt_jump_shot,wing_2,0.8178,3.085,18.35,39.448,7.244,19.299,39.408
164,4,Q4 1:55.22,2764.78,16.5,Isaiah Thomas,BOS,202738,2pt_jump_shot,wing_2,0.9222,4.754,77.369,35.02,7.453,77.504,34.6
165,4,Q4 1:32.32,2787.68,4.06,Shane Larkin,BKN,203499,3pt_jump_shot,wing_3,4.5,10.148,14.27,46.975,7.069,14.594,47.051
166,4,Q4 1:02.75,2817.25,4.33,Brook Lopez,BKN,201572,2pt_jump_shot,baseline_2,2.5833,2.525,8.272,15.637,7.505,8.343,15.136
167,4,Q4 0:39.68,2840.32,20.94,Jae Crowder,BOS,203109,layup,low_paint,7.5104,2.388,84.029,29.247,7.29,82.826,28.701
168,4,Q4 0:39.00,2841.0,24.0,Jae Crowder,BOS,203109,2pt_jump_shot,straight_up_2,4.0,8.29,74.044,24.49,7.032,73.772,24.819
169,4,Q4 0:27.59,2852.41,12.67,Brook Lopez,BKN,201572,layup,low_paint,7.275,1.749,4.044,23.961,7.013,4.507,24.153
